e_Year,p_PerfTitleClean,e_EventId
1768,The Beggars Opera,12
1768,The Devil to Pay,7
1768,The Stratagem,8
1769,Hamlet,10
1769,Macbeth,5
1769,The Beggars Opera,12
1769,The Devil to Pay,10
1769,The Stratagem,5
1770,Hamlet,7
1770,Macbeth,8
1770,The Beggars Opera,7
1770,The Devil to Pay,4
1770,The Stratagem,6
1771,Hamlet,5
1771,Macbeth,2
1771,The Beggars Opera,14
1771,The Devil to Pay,10
1771,The Stratagem,7
1772,Hamlet,7
1772,Macbeth,7
1772,The Beggars Opera,12
1772,The Devil to Pay,6
1772,The Stratagem,6
1773,Hamlet,6
1773,Macbeth,8
1773,The Beggars Opera,12
1773,The Devil to Pay,3
1773,The Stratagem,9
1774,Hamlet,6
1774,Macbeth,2
1774,The Beggars Opera,13
1774,The Devil to Pay,6
1774,The Stratagem,5
1775,Hamlet,6
1775,Macbeth,3
1775,The Beggars Opera,8
1775,The Devil to Pay,5
1775,The Stratagem,6
1776,Hamlet,5
1776,Macbeth,6
1776,The Beggars Opera,12
1776,The Devil to Pay,4
1776,The Stratagem,2
1777,Hamlet,19
1777,Macbeth,1
1777,The Beggars Opera,25
1777,The Devil to Pay,6
1778,Hamlet,5
1778,Macbeth,10
1778,The Beggars Opera,16
1778,The Devil to Pay,1
1778,The Stratagem,3
1779,Hamlet,6
1779,Macbeth,5
1779,The Beggars Opera,8
1779,The Devil to Pay,1
1779,The Stratagem,5
1780,Hamlet,5
1780,Macbeth,7
1780,The Beggars Opera,16
1780,The Stratagem,8
1781,Hamlet,7
1781,Macbeth,5
1781,The Beggars Opera,28
1781,The Stratagem,1
1782,Hamlet,6
1782,Macbeth,7
1782,The Beggars Opera,16
1782,The Devil to Pay,3
1782,The Stratagem,5
1783,Hamlet,16
1783,Macbeth,2
1783,The Beggars Opera,6
1783,The Stratagem,1
1784,Hamlet,7
1784,Macbeth,5
1784,The Beggars Opera,8
1784,The Stratagem,3
1785,Hamlet,8
1785,Macbeth,17
1785,The Beggars Opera,11
1785,The Devil to Pay,1
1786,Hamlet,3
1786,Macbeth,6
1786,The Beggars Opera,8
1787,Hamlet,7
1787,Macbeth,5
1787,The Beggars Opera,2
1787,The Devil to Pay,2
1787,The Stratagem,3
1788,Hamlet,2
1788,Macbeth,6
1788,The Beggars Opera,4
1788,The Devil to Pay,3
1788,The Stratagem,2
1789,Hamlet,2
1789,Macbeth,5
1789,The Beggars Opera,13
1789,The Devil to Pay,12
1789,The Stratagem,1
1790,Hamlet,4
1790,Macbeth,4
1790,The Beggars Opera,4
1790,The Devil to Pay,6
1791,Hamlet,1
1791,Macbeth,1
1791,The Beggars Opera,11
1791,The Devil to Pay,15
1792,Hamlet,2
1792,Macbeth,5
1792,The Beggars Opera,4
1792,The Devil to Pay,8
1793,Hamlet,9
1793,Macbeth,4
1793,The Beggars Opera,3
1793,The Devil to Pay,3
1794,Hamlet,7
1794,Macbeth,19
1794,The Devil to Pay,3
1795,Hamlet,5
1795,Macbeth,10
1795,The Beggars Opera,4
1795,The Devil to Pay,5
1796,Hamlet,11
1796,Macbeth,6
1796,The Beggars Opera,2
1796,The Devil to Pay,9
1797,Hamlet,9
1797,Macbeth,4
1797,The Beggars Opera,4
1797,The Devil to Pay,5
1798,Hamlet,13
1798,Macbeth,4
1798,The Beggars Opera,10
1798,The Devil to Pay,4
1799,Hamlet,8
1799,Macbeth,4
1799,The Beggars Opera,8
1799,The Devil to Pay,2
1800,Hamlet,1
1800,The Beggars Opera,2
1800,The Devil to Pay,5
