p_PerfTitleClean,e_EventId
Monologues End 2nd piece As17890617 Preceding An Address to the Humane Society on the Abolition of the Slave Trade in the character of a Negro  by Kemble End 3rd piece Belles have at Ye All Mrs Kemble,1
Monologues Before Collins Ode on the Passions Master Parker End III The Birth Day Ode by Henry James Pye 1st performed at St,1
Monologues After Singing British Loyalty or A Squeeze to St,1
MonologuePrevious his being the Anniversary of His Majestys Happy Recovery British Loyalty or a Squeeze for St,1
Monologues with Songs,1
MonologueEnd The Barbers Petition as17960506 with Wigs as17960506,1
Monologue Preceding British Loyalty or A Squeeze for St,1
Monologue End a monody The Shadows of Shakespeare or Shakespeares Characters doing Homage to Garrick written by Samuel Jackson,1
Monologue End The Picture of a Play House or Bucks have at ye all R,1
Monologue End Lingos Opinions on Men and Manners as17870410,1
Monologue End I Lodgings for Single Gentlemen from George,1
Monologue End An Occasional Address H,1
MonologueAfter dancing Belles,1
Monstrum Horrendum or The Practice of a Modern Comic Entertainment,1
Moor Of Venice,1
More Ways than One to Win Her,1
Musical Miscellanies,1
Musical Lady,1
Music In Four Acts,1
Much Ado about Nothing,1
Mrs Midnights Grand Concert,1
Mrs Midnights Concert And Oratory,1
Mrs Midnights Concert,1
Mrs Midnight Will Give Caudle,1
Mrs Doggrell In Her Altitudes Or The Effects Of A West India Ramble,1
Mr Turbulent Or The Melanchollicks,1
Mr Anthony,1
Mr Abell having had the Honour lately to Sing to the Nobility and Gentry of Richmond and the Neighbouring Towns thinks himself bound in Gratitude,1
Mother Shipton with Stockwell Scenes,1
Mother Shipton with Alterations,1
Mother Shipton or Harlequin Gladiator,1
Monologue End 3rd piece As17890617,1
Monologue British Loyalty  or A Squeeze for St Pauls as17890617 God save the King as17890617 but Reeve,1
Monologue Before Mother Shiptons Review of the Audience Written By D,1
Monologue As17890617,1
Merlin or The Devil of Stone Henge,1
Merlin or The British Enchanters,1
Merlin The British Enchanter Or The Child Has Found His Father,1
Merlin The British Enchanter Or St,1
Merlin Or The Enchanter Of Stone henge,1
Merlin Or The Devil Of Stone henge With Harlequin Highlander,1
Mercury Harlequin Cross The Author Public Advertiser,1
Merchant Of Venice,1
with a Gwith a Grand Entertainment of Dancing calld A Voyage to the Land of Cytherea,1
Medecin Malgre Luy,1
Measure For Measure Or Beauty The Best Advocate,1
May Day or The Merry Milkmaids of Islington,1
May Day or The Little Gipsey,1
May Day Or The Little Gipsey,1
Maudlin The Merchants Daughter Of Bristol With The Comical Humours Of Roger Antonios Man,1
Merlins Cave or The Royal Chase,1
Mustapha The Son Of Solyman The Magnificent,1
Merode E Selinunte,1
Merry Sherwood or Harlequin Forester,1
Monologue  After Dancing The Monody on the Death of the late D,1
Money at a Pinch or The Irishmans Frolicks,1
Momus Turned Fabulist or Vulcans Wedding,1
Momus Turnd Fabulist Or Vulcans Wedding,1
Mogul Tale,1
Modern Madness or A Touch of the Times,1
Modern Breakfast or All Asleep at Noon,1
Modern Breakfast,1
Mock Doctor or The Dumb Lady Curd,1
Mlle Chateauneuf lately arrivd from Paris,1
Miss in her Teens or The Medley of Lovers,1
Miss in Her Teens  Ye Scene of Peace,1
Miss IN Her Teens,1
Miss Hoyden or The Man of Quality,1
Messiah 1,1
Merry Sherwood and see17951221,1
Mutius Scaevola,1
My Nightgown and Slippers,1
NAPLES BAY or The British Seamen at Anchor,1
Overture  Favourite Hunting Song Barnshaw A favourite Scots air Miss Dowson An Overture Abel O What a Charming Things a Battle Barnshaw Sweet Echo Mas,1
Othello kemble  Roderigo dodd  Cassio bannister Jun,1
Othello Moor of Venice,1
Othello By Gentlemen,1
Oscar and Malvina and see17941014,1
Oscar And Malvina,1
Orpheus and Eurydice with Metamorphoses of Harlequin,1
Orpheus and Eurydice or The Metamorphoses of Harlequin,1
Orpheus Seeking After Eurydice,1
Orpheus And The Death Of Eurydice With The Metamorphosis Of Harlequin,1
Oroonokoor The Royal Slave,1
Ormisda,1
Orlando,1
Or The Force Of Love,1
Opposition,1
Overture to Ariadne,1
Oncerto Spirituale,1
Oxonian in Town,1
PATRICK IN PRUSSIA i,1
Patrick in Prussia i,1
Pat1e and Peggy or The Fair Foundling,1
Passacaile by Mrs Bullock,1
Pasquin A Satire On The Times,1
Parthenope,1
Partenio,1
Part I,1
Parnasso In Festa Or Apollo And The Muses Celebrating The Nuptials Of Thetis And Peleus,1
Paradise Lost,1
Pandora,1
PPierrots de Vallois J,1
PPierrot de Vallois J,1
PPierots Lalauze Desse Je ne scai quoy as17390523,1
PPierots Lalauze Desse Hornpipe J,1
PEEPING TOM ,1
P Ormio,1
She Stoops To Conquor Or The Mistakes Of A Night,1
On this day only,1
Omnipotence Acis And Galatea,1
No Fool Like The Old One Or The Lucky Discovery,1
Ninetta O Chi Dell Altrui Si Veste Presto Si Spoglia,1
New Spain or Love in Mexico,1
New Readings by Johnny Bulcalf With his Journey to London,1
New Dances composed by Simonet and Vallouy,1
New Dances and Decorations,1
New Carnival Concert,1
Neptunes Palace,1
Neglected Virtue Or The Unhappy Conquerors,1
National Prejudice,1
Nabal,1
NO SONG No SUPPER,1
NO SONG NO SUPPER ,1
NINA,1
NETLEY ABBEY ,1
No Matter What,1
Omnipotence Messiah,1
No SONG NO SUPPER,1
No Wit Like A Womans,1
Omai and see17851220,1
Olympus in an Uproar or The Descent of the Deities,1
Olimpia In Ebuda,1
Old Straw,1
Old Maid,1
Old Batchelor,1
Oh,1
Ocean,1
Obi or Three Fingerd Jack,1
OSCAR AND MALVINA or The Hall of Fingal,1
OSCAR AND MALVINA ,1
Numpss Courtship or Love Makes the Painter,1
Numpss Courtship,1
Nootka Sound or Britain Prepard,1
None are so Blind as Those HAY Who Wont See,1
No SONG No SUPPER,1
Maudlin The Merchants Daughter Of Bristol,1
She Ventures And He Wins,1
She Would And She Would Not Or The Kind Imposter,1
The Banishd General,1
The Banditti Or Loves Labyrinth,1
The Banditti Or A Ladies Distress,1
The Authors Triumph or The Manager Managd,1
The Auction,1
The Atheist Or The Second Part Of The Souldiers Fortune,1
The Banishd General Or The Distrest Lovers,1
The Astrologer Or The Pretended Transformation,1
The Assignation,1
The Ascension Judas Maccabaeus,1
The Ascension Acis And Galatea,1
The Artful Wife,1
The Art of Management or Tragedy Expelld,1
The Arab,1
The Astrologer,1
The Bank Note Or A Lesson For The Ladies,1
The Bank Note Or Lessons For Ladies,1
The Barren Island,1
The Beggars Pantomime or The Contending Colombines Intermixd with Ballad Songs in the Characters of Polly and Lucy,1
The Beggars Pantomime With New Scenes and several Alterations and Additions particularly a Sequel to the Contention calld Pistol in Mourning,1
The Beggars Opera Tragedizd,1
The Beggars Opera Last Act only,1
The Beggars Bush,1
The Beggar on Horseback,1
The Beaux Stratagem Or Humours Of The Litchfield Landlord,1
The Beaux Duel or A Soldier for the Ladies,1
The Beau Defeated Or The Lucky Younger Brother,1
The Battle of the Poets or The Contention for the Laureat,1
The Battle Of Poictiers Or The English Prince,1
The Battle Of Poictiers,1
The Bath Unmasked,1
The Basset Table,1
The Barren Island or Petticoat Government,1
The April Fool or The Follies of a Night,1
The Apparition Or The Sham Wedding,1
The Apparition,1
The Anniversary  Being a Sequel to Lethe,1
The American Heroine or Ingratitude Punished,1
The Ambitious Step Mother,1
The Ambitious Statesman Or The Loyal Favourite,1
The Ambitious Slave Or A Generous Revenge,1
The Algerine Slave,1
The Alchvmist,1
The Albion Queens or The Death of Mary Queen of Scots,1
The Albion Queen Or The Death Of Mary Queen Of Scotland,1
The Advertisement or A New Way to Get a Husband,1
The Advertisement Or A Bold Stroke For A Husband,1
The Adventures of Sir Lubberly Lackbrains and His Man Blunderbuss,1
The Adventures of Harlequin in Spain,1
The Adventures of Half an Hour,1
The 1st Act Of Le Gelosie Villane,1
The 1st Act Of La Buona Figliuola,1
The Amorous Bigotte With The Second Part Of Tegue O Divelly,1
The Beggars Wedding Or Rackall The Goalkeeper Outwitted,1
The Amorous Follies,1
The Amorous Goddess or Harlequin Marryd,1
The Ancient History Of Caradoc The Great Or The Valiant Welshman,1
The Anatomist or Sham Doctor,1
The Anatomist Or The Sham doctor,1
The Anatomist Or Sham Doctor,1
The Anatom1st Or The Sham Doctor,1
The Anacreontic Society Revived i,1
The Amours of Billingsgate The Coblers Opera,1
The Amours of Billingsgate,1
The Amorous Widow Or Wanton Wife,1
The Amorous Sportsman or The Jealous Farmer,1
The Amorous Sportsman or The Death of the Stag,1
The Amorous Sportsman or Harlequin Triumphant,1
The Amorous Prince Or The Curious Husband,1
The Amorous Old Woman Or tis Well If It Take,1
The Amorous Lady Or The Biter Bit,1
The Amorous Goddess or Harlequin Married,1
The 1st Act Of I Zingari In Fiera,1
The Benevolent Planters,1
The Bird In A Cage Or Money Works Wonders,1
The City Association or The National Spirit Rousd,1
The Citizen Turned Gentleman,1
The Choice or Merit before Mnney,1
The Choice Of Apollo,1
The Chimera Or An Hue And Cry To Change Alley,1
The Children or Give Them their Way,1
The City Bride Or The Merry Cuckold,1
The Chesire Comicks Or The Amours Of Lord Flame,1
The Changeling,1
The Change Of Crowns,1
The Chambermaid,1
The Castle Spectre,1
The Castle Of Andulusia,1
The Castle Of Andalusia and See 14 Oct,1
The Cheats of Harlequin or The Farmer Outwitted,1
The City Lady Or Folly Reclaimd,1
The City Madam,1
The City Ramble,1
The Comet or How to Come at Her,1
The Com1cal History Of Don Quixote,1
The College Of Physicians Or Doctor Lasts Examination,1
The Coffee house Politician Or The Justice Caught In His Own Trap,1
The Coffee House,1
The Coblers Opera or The Humours of Billingsgate,1
The Cobler or a Wife of Ten Thousand,1
The Cobler of Castlebury,1
The Club of Fortune Hunters or The Widow Bewitchd,1
The Clowns Stratagem or A New Way to get a Wife,1
The Clowns Stratagem,1
The Clock Case or Female Curiosity,1
The City Wives Confederacy Or The Usurer Outwitted,1
The City Ramble Or The Humours Of The Comptors,1
The City Ramble Or A Playhouse Wedding,1
The Carnival or Harlequin Blunderer,1
The Carnival Concert,1
The Carn1val Or Harlequin Blunderer,1
The Cares Of Love Or A Nights Adventure,1
The Boating Lovers,1
The Boarding School Romps or The Sham Captain,1
The Blind Beggar of Bethnal Green,1
The Blind Beggar Of Bethnal Green With The Comical Humours Of Tom Stroud A Country Farmers Son And Gudgeon His Man,1
The Blind Beggar Of Bednal Green Or The Woman Never Vexd With The Comical Humours Of Sir Timothy Sousecrown And His Man Gudgeon,1
The Blind Beggar Of Bednal Green Or The Woman Never Vexd With The Comical Humour Of Squire Souse Crown And His Man Gudgeon,1
The Blind Beggar Of Bednal Green,1
The Blazing Comet The Mad Lovers Or The Beauties Of The Poets,1
The Blade Bone or Harlequins Frolic,1
The Blade Bone or Agreeable Companion,1
The Blackamoor Washd White,1
The Black Prince,1
The Biter Bit,1
The Biter,1
The Birth Day or The Prince of Arragon,1
The Boating Lovers Or The Libertine Tamd,1
The Bird In A Cage,1
The Bondman Or Love And Liberty,1
The Brilliants,1
The Careless Lovers,1
The Captive Prince Or Love And Loyalty With The Comical Humours Of Falstaff And Antient Pistol,1
The Canterbury Guests Or A Bargain Broken,1
The Cantabs,1
The Campaigners Or The Pleasant Adventures At Brussels,1
The Campaign Or Love In The East Indies,1
The Cabinet Of Fancy Or Evening Exhibition,1
The Burgomaster Tricked,1
The Bucks Lodge,1
The British Tars Triumph over M Soup Maigre,1
The British Sailor or The Fourth of June,1
The British Roratory Or Mrs Midnights New Carnival Concert,1
The British Recruit or Whos Afraid,1
The British Heroine,1
The British Enchanters Or No Magick Like Love,1
The Bottle Conjurer Outdone or The Power of Magick and the Escape of Harlequin into a Quart Bottle,1
The  Royal Chace,1
The  Perplexd Husband,1
The  Mayor of Garratt,1
THE CAMP,1
THE BELLES STRATAGEM,1
THE BATTLE OF HEXHAM or Days of Old,1
THE BATTLE OF HEXHAM,1
THE ALCHYMIST,1
THE AGREEABLE Surprise,1
THE CHAPTER OF ACCIDENTS,1
THE AGREEABLE SURPRISE ,1
Sylvia or The Country Burial,1
Sylvia Or The Country Burial,1
Sylvester Daggerwood or A Trial for a London Engagement,1
Sweet Echo as17761007,1
Swedish Dal Karl by Delagarde and Mrs Ogden,1
