p_PerfTitleClean,e_EventId
The Sailors Wedding,1
The Sailors Revels at Portsmouth,1
The Sailors Prize or May Day Wedding,1
The Sailors Opera Or An Example Of Justice To Present And Future Times,1
The Sailors Opera,1
The Sacrifice Of Iphigenia,1
The Sacrifice,1
The S1ege Of Troy,1
The Rural Sports With The Stratagems of Harlequin,1
The Rum Duke And The Queer Duke Or A Medley Of Mirth And Sorrow,1
The School For Scandal Scandalizd,1
The Rum Duke And The Queer Duke,1
The School For Vanity,1
The School for Wives,1
The Sham Lawyer Or The Lucky Extravagant,1
The Second Part Of The Rover,1
The Second Part Of The History Of King Henry The Ivth With The Humours Of Sir John Falstaff,1
The Second Part Of The History Of King Henry The Fourth With The Humours Of Sir John Falstaffe Henry Iv Part Ii,1
The Second Part Of The Comical History Of Don Quixote,1
The Second Part Of King Henry The Fourth With The Humours Of Sir John Falstaff Justice Shallow Ancient Pistol,1
The Second Part Of King Henry The Fourth With The Humours Of Sir John Falstaff And Justice Shallow,1
The Second Part Of King Henry Iv With The Humours Of Sir John Falstaffe And Justice Shallow,1
The Second Part Of King Henry Iv Part Ii With The Humours Of Sir John Falstaff And Justice Shallow,1
The Sea Voyage Or The Commonwealth Of Women,1
The Sea Voyage Or Commonwealth Of Women,1
The Scornful Bride,1
The Schoole Of Complements,1
The School of Lovers,1
The School of Eloquence,1
The School Of Shakespeare,1
The Virgin Martyr,1
The Royalist,1
The Royal Oake,1
The Rivals Or The Happy Despair,1
The Rival Widows Or The Fair Libertine,1
The Rival Sisters Or The Violence Of Love,1
The Rival Queens or Death of Alexander the Little,1
The Rival Queens With The Humours of Alexander the Great,1
The Rival Queens Or The Death Of Alexander The Great Intermixed With A Comic Called A Wife Well Managd Or A Cure For Cuckoldom,1
The Rival Queens Or Drury lane And Covent garden,1
The Rival Queens And The Death Of Alexander The Great,1
The Rival Queans or The Life and Death of Alexander the Little,1
The Rival Queans With the odd Humours of little Alexander the Great,1
The Rival Queans,1
The Rival Milliners or The Humours of Covent Garden,1
The Rival Milliners or A Medley of Suitors,1
The Rival Lovers Or The Gamester Bit,1
The Rival Ladies,1
The Robbers or Harlequin Trappd by Colombine,1
The Royal Shepherdess,1
The Roman Actor,1
The Roman Empress,1
The Royal Mischief,1
The Royal Merchant or The Beggars Bush,1
The Royal Merchant Or Beggars bush,1
The Royal Heroe Or Lover Of His Country Intermixd With Several Comical And Diverting Scenes Calld the Blundering Brothers With The Merry Adventures Of Timothy Addlepot And Davy Dunce,1
The Royal Chace with the new Additional Scene,1
The Royal Chace or Merlins Cave With Jupiter and Europa,1
The Royal Chace General Advertiser,1
The Royal Captives,1
The Royal Captive,1
The Rover Or The Banisht Cavaliers,1
The Roundheads Or The Good Old Cause,1
The Rose,1
The Romance of An Hour,1
The Roman Virgin Or The Unjust Judge,1
The Roman Father with Alterations,1
The Roman Brides Revenge,1
The Playhouse To Be Let,1
The Virgin Prophetess Or The Fate Of Troy,1
The Virgin Unmask d,1
Wednesday Ss The Merry Wives Of Windsor,1
Ways and Means or A Trip to Dover,1
Ways Than One,1
Ways And Means Or A Trip To Dover,1
Way Of The World,1
Wat Tyler or The State Menders,1
Welfth Night,1
Wat Tyler And Jack Straw Being The Representation Of That Celebrated And Heroick Action Of Sir William Walworth A lord Mayor Of London Performd In The Reign Of king Richard The Second Shewing How He Stabd The Insolent Rebel wat Tyler At The Head Of His Rout In smithfield For Which Reason The Dagger Which He So Loyally Employd Was Added To The Citys Arms And Loyalty,1
WWas ever Nymph Like Rosamund,1
WHOs THE DUPE,1
WHOS THE DUPE,1
Vortigern,1
Vologeso,1
Vocal and instrumental Music  viz,1
WWater Musick As17330507 A Grand Overture by Dr Pepusch ,1
What DYe Call It,1
What We Must all Come To,1
What dye Call It,1
With a Lapland Entertainment calld Aesops Concert of Animals,1
With a Concerto for several Instruments  never performed before,1
With The Triumphs of Love,1
With The Humours of Bedlam,1
With The Comical Humours of Anthony Noodle His Man Weazle and Captain Blunderbuss,1
William and Susan or The Sailors Sheet Anchor,1
William and Nanny,1
Will and no Will or A Bone for Lawyers,1
Will And No Will Or Wits Last Stake,1
Widow And No Widow,1
Whos THE DUPE,1
Whod Have Thought It,1
Who Pays the Reckoning,1
When the fine Overture composd by the late ingenious Mr William Babell for St,1
When in War on the Ocean as17931002 New Song Gray in place of Incledon The Music as17931002 The Dances as17931002,1
Vocal and instrumental Music  particularly a new piece by Jer,1
Vocal and Instrumental Music the best Performers particularly several select Entertainments of the following English Operas Operas viz,1
Vocal and Instrumental Music the best Masters viz,1
Vocal and Instrumental Music of his Veracinis own Composing  viz,1
Victorious Love,1
Vice Reclaimd Or The Passionate Mistress,1
Vespasian,1
Vertus Betrayd Or Anna Bullen,1
Vertumnus and Pomona,1
Vertue Betrayed,1
Venus and Adonis last Interlude,1
Venus Cupid and Hymen,1
Vaudeville In course Evening an entire New Song The Seamans Lamentation for the Loss of the Royal Charlotte The Words by G,1
Vaudeville End Opera The Last new Squeeze for St,1
Vaudeville End 2nd Piece A Scene in a Masque Ball  with an Illumination,1
Valentinian With The Rape Of Lucina,1
Valentines Day,1
Valentine And Orson,1
VPantomime Dance calld Harlequin and Clown,1
Victory,1
With a Lilliputian Pantomime calldHarlequins Frolic or A Voyage to Prussia,1
Victory an Ode Inscribed to Admiral Keppel Messiah,1
Virgin Unmaskd,1
Vocal and Instrumental Music intirely New,1
Vocal and Instrumental Music composed by Mr Hen,1
Vocal and Instrumental Music Thirty of the most celebrated Masters Singing Mrs Pulmon Flute solo Paisible Violoncello Pepo Solo Dubourg Concerto Alex,1
Vocal and Instrumental Music  proper to the Play,1
Vocal and Instrumental Music  most of the celebrated Songs in our new Operas Signor Rochetti and several others lately brought from Italy,1
Vocal and Instrumental Music  Several new Songs Mrs Hudson Mr Elford accompanyd with the Lute Also particular Performances Mr Paisible Mr Banister concluding with a Song made upon St,1
Vocal and Instrumental Music  Particularly a Sonata for a Flute and a Violin Signior Gasperini Mr Paisable And likewise a Sonata for two Flutes Mr Paisable Mr Banister the whole being entirely New,1
Vocal and Instrumental Music  Note,1
Vocal and Instrumental Music  Consisting of an Ode designd for the Princes BirthDay  an Ode on the King  and that Celebrated Piece of Mr Dryden called the Feast of Alexander All by Mr Tho,1
Vocal and Instrumental Music ,1
Vocal Parts Barnshaw A,1
Vocal Part consisting of the Choicest Songs in the Operas Mrs Foresyth As also a new Cantata on St,1
Vocal Imitations as17890515 but Mrs Wrighten World 24 May End Imitation of Mrs Siddons in the ring speech Act II,1
Vocal Imitations as17890515,1
Virtue Betrayd Or Anne bullen,1
Violin Festing,1
V a Grand Comic Ballet The Peasant,1
With new Dances composed by Simonet,1
With the Scene of Apollo and Daphne,1
n Old Man Taught Wisdom or The Virgin Unmaskd,1
n Old Man Taught Wisdom,1
lso Les Satires Puny,1
lionel And Clarissa Or The School For Fathers,1
into it will be introducd the Rinto it will be introducd the Rural Assembly,1
il Proteo Novello Viz The New Proteus,1
nd in which will be introducd a New Grand Ballet calld the Rural Assembly,1
il Drammatico Capricioso Recte Il Capriccio Drammatico,1
hay The Wrangling Lovers,1
hay The Vintner Tricked,1
hay The Vintner Trickd,1
hay The Citizen,1
hay Miss in Her Teens,1
hay Damon and Phillida,1
he Humourist,1
no Performance,1
not listed on playbill,1
original Music by Mattew Locke  with full Chorusses and Additional Accompaniments by ThomasLinley Sen,1
they being the greatest Performers of Men Women and Children that can be found beyond the Seas so that the World cannot parallize them for Dancing on the LowRope Vaulting on the HighRope Walking on the Slack and Sloping Ropes the Famous Company of Rope Dancers out doing all others to that Degree that it has highly recommended them both in Bartholomew Fair and May Fair last to all the best persons of Quality in England,1
theCtheCoronation,1
the first time of her performance on that theatre viz,1
the Widowd Wife,1
the The Debauchees,1
the Pyramus and Thisbe,1
the Provoked Wife,1
the Non Juror,1
the Feast Of Thalia Or A Dramatic Olio,1
the Ehe Elopement,1
that Athat Amazing Surprizing and Astonishing Scene of The Skeleton in The Royal Chace or Merlins Cave,1
scenes from Tscenes from The Old Batchelor,1
s 25 Sept,1
passacaille Epassacaille Ed,1
os The Dupe,1
fter the play By Particular Desire the Scene of Lady Pentweazle from Footes Taste,1
fragmentary Dramatic Entertainments,1
entertainments Of Music And Dancing A Grand Symphony By The Celebrated Band Of The Opera House,1
duRuel Mrs duRuel Cherrier Mrs Santlow particularly Harlequin Dance ,1
Zelmane,1
Zelma or The Will o th Wisp,1
Zaire,1
You Like It,1
Ximena Or The Heroick Daughter,1
Ximena Or The Heroic Daughter,1
Wrangling Lovers or Like Master Like Man,1
Women Pleasd,1
Womans Wit Or The Lady In Fashion,1
Womans A Riddle Or The Way To Win A Widow,1
Woman Is A Riddle Or The Way To Win A Widow,1
Wives as they Were and Maids as they Are,1
Wits Led By The Nose Or A Poets Revenge,1
With the two new Concertos  performed in the same this Season for several Instruments,1
With the best Machines Singing Dancing ,1
Zelmane Or The Corinthian Queen,1
With the Mask of Musick proper to the Play by the late Mr Hen,1
Zenobi A,1
a Dance as17981114 but  Male W,1
duRuel Cherrier duBargues Miss Santlow particularly the Union Dance as  twas performd before Her Majesty at St,1
duRuel Cherrier Mrs duRuel including the same Entertainments of Dancing performed last night at St,1
dl THE ADVENTURES OF A Night,1
dl Bon Ton,1
ct I Taste,1
concluding with Aconcluding with A Voyage to the Island of Cytherea,1
c1703 04 15 js c1703 04 15 js t Mrs Careless,1
by Dby DesireThe Mock Lawyer,1
by Dby Desire The Strollers,1
by Dby Desire The Necromancer,1
by Cby CommandThe Jealous Farmer Outwitted Harlequin a Statue,1
beaumarchais Never previously Acted Together,1
at end of Act I of the farce The Tobacco Box,1
a new farce calldLa new farce calldLilliput,1
a Desert The Honest Yorkshireman,1
Zenobia Of Armenia,1
V Vertumnus and Pomona,1
V The Wapping Landlady,1
V The Reprizal,1
The ew,1
The Younger Brother Or The Sham Marquis,1
The Younger Brother Or The Amorous Jilt,1
The Young King Or The Mistake,1
The Young Couple,1
The Young Coquet,1
The facetious Grand Dance by the whole Company,1
The Wrangling Lovers or Like Master Like Man,1
The Worm Doctor With Harlequin Female Bone Setter,1
The World In The Moon,1
The World As It Goes Or A Party At Montpelier,1
The Wonders of Derbyshire or Harlequin in the Peak,1
The Wonders Of Derbyshire or Harlequin in the Peak,1
The Wonders In The Sun Or The Kingdom Of The Birds,1
The Wrangling Lovers Or The Invisible Mistress,1
The most famous Ropedancers in Europe As1st Dance with and without a Pole 2 young Maidens  lately arrivd from France to admiration 2,1
The whole concluding with a Masque of Musick calld The Sultan,1
TheFrenchified Lady,1
Thyestes,1
Throw Physick to the Dogs,1
Throw Physick To The Dogs,1
Three new ballets composed by DAubcrval,1
Three new Ballets composed by Favre Guiardele,1
Thomas And Sally Or The Sailors Return,1
Tho Strange  tis True or Loves Vagaries,1
Third Course an Operatic Dish The Son in Law,1
Theyve Bit The Old One Or The Scheming Butler,1
Theseus,1
Thelyphthora or More Wives than One,1
Thelyphthora,1
TheOld Man Metamorphosed,1
TheLover His Own Rival,1
TheKing and the Miller,1
The Wonder Or Woman Keeps A Secret,1
The Womens Conquest,1
The Woman Turned Bully,1
The Woman Made A Justice,1
The Wapping Landlady,1
The Wanton Wife The Amorous Widow,1
The Wanton Widow,1
The Wanton Jesuit or Innocence Seduced,1
The WATERMAN or The Rowing Match,1
The Volunteers or The Adventures of Roderick Random and his Friend Strap,1
The Volunteers Or The Stock jobbers,1
The Volunteers Or Taylors To Arms,1
The Volcano or The Rival Harlequins,1
The Vocal part Mrs Arne late Miss Cecilia Young,1
The Vocal consisting of several Favourite Italian Songs  Four English Ballads a Gentlewoman who never appeard on any Stage before accompanied  with Instruments Concerto wise after an entire New Manner,1
The Virtuous Wife Or Good Luck At Last,1
The Virtuoso,1
The Virgin Unmasked or An Old Man Taught Wisdom,1
The Virgin Unmaskd The Old Man Taught Wisdom,1
The Wapping Landlady with Sixfold Hornpipe,1
Thyrsis Or The Lost Shepherdess,1
The Wary Widow Or Sir Noisy Parrat,1
The Way of the World,1
The Woman Captain Or The Usurer Turned Soldier,1
The Wives Excuse Or Cuckolds Make Themselves,1
The Witches or Harlequin Cheerokee,1
The Witches Revels or The Birth of Harlequin,1
The Witch of the Wood or The Nutting Girls,1
The Wishes Or Harlequins Mouth Opened,1
The Winters Tale as Originally Written By shakespeare,1
The Winters Tale As Written By shakespeare,1
The Widow of Malabar,1
The Widow Ranter Or The History Of Bacon In Virginia,1
The Widow Of Delphi Or The Descent Of The Dieties,1
The Whim or The Merry Cheat,1
The Wheel of Life or Harlequins Death,1
The What Dye Call it,1
The Welch Heiress,1
The Way Of Ye World,1
Tigrane,1
Timoleon Or Liberty Restored,1
Timoleon Or The Revolution,1
Tyrannic Love Or The Royal Martyr,1
Two Strings To Your Bow,1
Two Misses Scott Scholars of Nivelon,1
Two Anthems set to Musick by Handel,1
Twice Married And A Maid Still Or bedding Makes The Bargain Fast,1
Twice Married And A Maid Still Or Bedding Makes The Bargain Last,1
Turk and No Turk,1
Tunbridge Wells recte Walks or The Yeoman of Kent,1
Tunbridge Wells Or A Days Courtship,1
Tumble Down Dick on Phaeton in the Suds With Harlequin a Pick Pocket,1
True Blue Or A Bang At The Dons,1
True And Antient History Of King Lear And His Three Daughters,1
Tro1lus And Cress1da,1
Triumphs of Hymen and the Landing of the Queen,1
Triumph of Truth 3,1
Unanimity or War Love and Loyalty,1
Triumph of Truth 2,1
Uy Earl Of Warwick,1
V Ballad DAmour,1
V The Enchanted Garden new,1
V The Drunken Peasant,1
V The Coblers Jealous Wife new,1
V The Cobler or The Merry Wife Constant new,1
V The Birdcatchers,1
V The Bird Catchers,1
V La Provansalle newly composed by DVallois,1
V Grand Dance in the following Characters,1
V Grand Dance in Momus as17331231 ,1
V Grand Dance in Mom us as17331231 ,1
V Grand Ballet,1
V For First time this season The Wapping Landlady,1
V First time this season The Wapping Landlady,1
V Epithalamium the music by ThomasLinley Sen,1
V Drunken Peasant,1
V A new Comic Dance,1
The Virgin Queen Or The Captive Princess,1
Triumph of Truth 1,1
Trip to Scotland,1
To Arms or The British Recruit,1
To Arms,1
Titus And Berenice,1
Titus,1
Title Unknown,1
Tit for Tat with Additions,1
Tit for Tat The Anatomist,1
Tis an Ill Wind Blows Nobody Good or The Road to Odiham,1
Tis a Wise Child Knows its Father,1
Tippoo Saib or British Valour in India,1
Timotheus,1
Timon Of Athens Or Man hater,1
Timon Misantrope,1
Timon Le Misantrope,1
Timon In Love Or The Innocent Theft,1
To Conclude Masque Neptunes Prophecy,1
Triumph of Peace,1
To begin with Ninette a la Cour,1
To which will be added the following Songs S hai pieta Due pupille Mrs Robinson Lusinghe vezzose Si tintendo Signora Galerati Del fallo ful Camin Ti stringo o mio diletto Valentini Cieco Amor Ho un non so che nelcor Mrs Barbier Care labra Una speranza Mrs Manina E vano ognipensiero Si lieto e si conteno Mrs Margarita a new Trumpet Song  With a Sonata upon the Violin the wonderful Youth of 11 years old Upon the Trumpet Mr Grannon Grano,1
Trip To Scarborough,1
Trick upon Trick or Harlequin Statue,1
Trick Upon Trick,1
Trick For Trick Or The Debauchd Hypocrite,1
Trials of the Heart,1
Transformation,1
Tragedy of Tragedies or Tom Thumb the Great,1
Tragedy of Tragedies or Tom Thumb,1
Tragedy of Tragedies or The Life and Death of Tom Thumb the Great,1
Toy Shop The Author,1
Too Loving By Half,1
Too CIVIL BY HALF,1
Tony Lumpkins Ramble to Town,1
Tom Thumb As17820927 ,1
Tom Essence Or The Modish Wife,1
To conclude with the Masque ofThe Sultan,1
The Comical History Of Don Quixote Part I,1
The Play Is The Plot,1
The Pilgrim With The Humours Of Bedlam,1
The Female Orators Or Ladies Debating Society,1
The Female Fop Or The False One Fitted,1
The Female Duellist,1
The Female Dramatist,1
The Female Advocates,1
The Female Adventure The Female Pursuit,1
The Female Parson Or Beau In The Suds,1
The Female Adventure Or Stop Her Who Can,1
The Feignd Innocence Or Sir Martin Mar all,1
The Feignd Innocence Or Sir Martin Mar All,1
The Feignd Curtizans Or A Nights Intrigue,1
The Feast of Bacchus,1
The Feast of Anacreon i,1
The Feast Of Thalia Or A Dramatic Olio,1
The Female Adventure,1
The Female Rake or Modern Fine Lady,1
The Female Vertuosos,1
The Female Wits Or The Triumvirate Of Poets At Rehearsal,1
The Folly of Age or The Accomplished Lady,1
The Follies of a Day Being the Sequel to The Spanish Barber,1
The Follies of A Day,1
The First Part of King Henry the Fourth With the Humours of Sir John Falstaff,1
The First Part of King Henry the Fourth,1
The First Part of King Henry IV,1
The First Grand Selection 0 Of Sacred Music From The Works Of handel Lallegro Ed Il Pensieroso 0,1
The First Act of Robinson Crusoe or Harlequin Friday,1
The First Act Of Alexanders Feast Grand Selection 0,1
The Fingalian Dance Mas,1
The Fine Ladys Airs,1
The Fickle Shepherdess,1
The Festive Board i,1
The Festival of Anacreon i,1
The Festival The Impromptu Revel Masque,1
The Feast Of Alexander,1
The Favorite Comic Ballet first time this season The Wapping Landlady,1
The Fathers Or The Good Naturd Man,1
The Fate Of Villainy Or Virtue Triumphant,1
The False Delicacy,1
The Fall Of Martinico Or Britannia Triumphant,1
The Faithful Shepherd,1
The Faithful Irish Woman,1
The Faithful General,1
The Faithful Bride Of Granada,1
The Fairy or Harlequin in the Shades,1
The Fairy Queen or Harlequin Turnd Enchanter,1
The Fairy Queen one Act,1
The Fairy Prince with Installation of Knights of the Garter,1
The Fairies,1
The Fair Quaker or The Humours of the Navy,1
The Fair Quaker Or Humours Of The Navy,1
The Fair Quaker Of Deal With The Humours Of The Navy,1
The Fair Orphan,1
The False Friend Or The Fate Of Disobedience,1
The Fool Turnd Critick,1
The Famous History Of The Rise And Fall Of Massaniello,1
The Farmer Deceivd,1
The Fate Of Sparta Or The Rival Kings,1
The Fate Of Capua,1
The Fatal Vision Or The Fall Of Siam,1
The Fatal Retirement,1
The Fatal Marriage Or Innocent Adultery,1
The Fatal Legacy,1
The Fatal Jealousie,1
The Fatal Discovery Or Love In Ruines,1
The Fashionable Lover Or Wit In Necessity,1
The Fashionable Lady Or Harlequins Opera In The Manner Of A Rehearsal,1
The Fashionable Lady Or Harlequins Opera,1
The Farrier Nickd or The Exalted Cuckold,1
The Farmers Son or The Maidens Second Slip,1
The Farmer Trickd or Harlequin Happy,1
The Farmer Outwitted,1
The Farmer 40th recte 37th Time i,1
The Fair Lunatick Or The Generous Sailor,1
The Fools Preferment Or The Three Dukes Of Dunstable,1
The Fops Fortune love Makes A Man,1
The Harlots Progress With Harlequin Grand Volgi,1
The Harlequin Ranger,1
The Happy Shepherd,1
The Happy Nuptials With the Amorous Sportsman,1
The Happy Lovers or The Beau Metamorphosd,1
The Happy Gallant Or The Modern Wife,1
The Harlots Progress or Ridotto al Fresco,1
The Happy Constancy,1
The Guardian Or The Cutter Of Coleman Street,1
The Grove Or Loves Paradice,1
The Greek Slave Or The School For Cowards,1
The Great Favourite Or The Duke Of Lerma,1
The Governour Of Cyprus,1
The Governor or The Creolian Insurrection,1
The Happy Captive,1
The Harlots Progress or The Ridotto Al Fresco With a Grand Masque calld The Judgment of Paris or The Triumph of Beauty,1
The Harlots Progress or The Ridotto AlFresco,1
The Harlots Progress or The Ridotto al Fresco,1
The History Of Cephalus With The Death Of Procris,1
The History Of Bonduca Or The British Heroine With The Humours Of Corporal Macer,1
The History Of Bonduca,1
The History Of Bateman Or The Unhappy Marriage With The Comical Humours Of Sparrow His Man,1
The History And Fall Of Domitian Or The Roman Actor,1
The History And Fall Of Cauis Marius,1
The Highland Lovers see17990423  with Un Pas de Trois Bologna Miss E,1
The Highland Fair Or Union Of The Clans,1
The Highland Fair,1
The Heroick Footman,1
The Hermione or Valours Triumph,1
The Henpeckd Captain,1
The Heiress or The Antigallican,1
The Heiress Or The Salamanca Doctor Out Plotted,1
The Heir Of Morocco With The Death Of Gayland,1
The Governor Of Barcelona Or The Spanish Wives,1
The Golden Pippin with Additional Songs,1
The Gnome or Harlequin Underground,1
The Glorious Queen Of Hungary,1
The French Doctor Outwitted With The Comical Humours Of Sly Boots The Sham Physician,1
The French Cuckold,1
The French Conjuror,1
The Fox volpone,1
The Fourth Act of The Merchant of Venice,1
The Foundling Or Virtue Rewarded,1
The Fortune hunters Or Two Fools Well Met,1
The Fortune Tellers With Harlequin Skeleton,1
The Fortune Tellers With A Voyage to the Island of Cytherea,1
The Fortunatus,1
The Forced Marriage in English,1
The Force Of Ridicule,1
The Force Of Friendship,1
The Force Of Fashion,1
The Forcd Marriage Or The Jealous Bridegroom,1
The Frenchifyd Lady Never in Paris,1
The Fops Fortune Love Makes A Man,1
The Friends Or The Benevolent Planters,1
The Gamester comedy,1
The Giant Defeated Or The Reward Of Valour,1
The Ghost or The Devil to do about Her,1
The German Princess,1
The Gentleman Dancing Master,1
The Gentleman Cully,1
The Genoese Pirate or Black Beard,1
The Genii Arabian Nights Entertainment,1
The Generous Husband Or The Coffee House Politician,1
The Generous Free mason Or The Constant Lady,1
The Generous Free Mason Or The Constant Lady With The Comical Humours Of squire Noodle And His Man doodle,1
The Generous Free Mason Or The Constant Lady,1
The Generous Enemies Or The Ridiculous Lovers,1
The Generous Conqueror Or The Timely Discovery,1
The Generous Choice,1
The Gardens of Venus or The Truimphs of Love,1
The Frolics of an Hour,1
The Fair A Grotesque Pantomime Entertainment,1
The Faggot Binders as17640224,1
The Experiment,1
The Country Mad Cap or Miss Lucy in Town,1
The Country Lasses Or The Custom Of The Country,1
The Country Lasses Or Custom Of The Manor,1
The Country Innocence Or The Chamber maid Turnd Quaker,1
The Country Farmer or Trick upon Trick,1
The Country Farmer Deceivd,1
The Country Mad cap,1
The Counterfeit Heiress or The Boarding School,1
The Count Of Burgundy,1
The Cottage Maid,1
The Coronation Of Queen Elizabeth With The Restauration Of The Protestant Religion Or The Downfal Of The Pope,1
The Coronation Anthems Acis and Galatea,1
The Cornish Squire,1
The Cornish Knights,1
The Counterfeit Bridegroom Or The Defeated Widow,1
The Country Revels With Harlequin Restord,1
The Country Wake or Hob in the Well,1
The Country Wedding formerly The Wedding,1
The Custom of the Country,1
The Custom Of The Country,1
The Cuckold in Conceit,1
The Cruel Gift Or The Royal Resentment,1
The Crisis or Love and Fear,1
The Creation The Messiah Grand Selection 0,1
The Craftsman or The Weekly Journalist,1
The Craftsman,1
The Coxcombs,1
The Coxcomb,1
The Court of Alexanders,1
The Coup de Grace or The Death of Harlequin  a Burlesque Pantomime Entertainment to be performed by Britons only,1
The Country wake,1
The Country Wedding the Comic Part of Acis and Galatea,1
The Country Wedding or The Roving Shepherd,1
The Cornish Hero or Jack the Giant Killer,1
The Cornish Comedy,1
The Coquette Or The Mistakes Of The Heart,1
The Cooper Outwitted or Harlequin Happy,1
The Conquest of St,1
The Conquest Of Spain,1
The Conquest Of Granada With The Loves Of Almanzor And Almahide,1
The Conquest Of Granada By The Spaniards,1
The Conquest Of China By The Tartars,1
The Connoisseur Or Every Man In His Folly,1
The Conjuror,1
The Compromise Or Faults On Both Sides,1
The Committee Or The Faithfull Irishman,1
The Committee Or The Faithful Irish man,1
The Comical Rivals Or The School Boy,1
The Comical Revenge or A Doctor in Spight of his Teeth,1
The Comical Resentment or Trick for Trick,1
The Comical Lovers Or Marriage A la mode,1
The Comical Humours of Sir John Falstaff Justice Shallow Ancient Pistol and Others,1
The Conquets Surrender Or The Humorous Punster,1
The Cynick Or The Force Of Virtue,1
The Consequences Of Industry And Idleness,1
The Constant Couple Or The Fo Bit,1
The Convivial Coterie i,1
The Contrivances or More Ways Than One,1
The Contrivances Or More Ways Than One,1
The Contrast or The Jew and Married Courtezan,1
The Contract or The Female Captain,1
The Contr1vances,1
The Contest of Love and Glory,1
The Contented Cuckold,1
The Contending Deities,1
The Constant Quaker Or The Humours Of The Navy,1
The Constant Quaker,1
The Constant Nymph Or The Rambling Shepheard,1
The Constant Lovers With the Comical Humours of Mons Ragout,1
The Constant Lovers With The Humours Of Sir Timothy Little Wit And His Man Trip,1
The Constant Lovers Or The False Friend With The Comical Humours Of Sir Timothy Timberhead And His Man Pismire,1
The Conspiracy Or The Change Of Government,1
The Czar Of Muscovy,1
The Days Of Yore,1
The Death Of Abel Judith,1
The Earl Of Warwick Or The British Exile,1
The Earl Of Warwick And Margaret Of Anjou,1
The Earl Of Essex the Unhappy Favourite,1
The Dutch Lover,1
The Dupes of Fancy or Every Man his Hobby,1
The Dumb Cake or The Regions of Fancy,1
The Duke Of Guise Or The Massacre Of Paris,1
The Duel,1
The Duchess Of Malfi,1
The Druids with two New Scenes,1
The Druids With Additions  Alterations,1
The Druids Masque,1
The Dreamer Awake or The Pugilist Matched,1
The Dreamer Awake,1
The Dragoness,1
The Eccentric Lover,1
The Dragon Of Wantley,1
The Eleventh of June or The Daggerwoods at Dunstable,1
The Emperor Of China Grand Volgi Or The Constant Couple And Virtue Rewarded,1
The Excise Man,1
The Eunuch or The Darby Captain,1
The Escapes of Harlequin or Fribble Trickd,1
The Escapes Of Harlequin By Sea And Land Or Colombine Made Happy At Last,1
The Escape,1
The Ephesian Matron or The Widows Tears,1
The Envious Statesman Or The Fall Of Essex With The Humours Of The Forcd Physician,1
The Englishman returned from Paris,1
The Englishman from Paris,1
The English Tars in America or The Good Woman Without a Head,1
The English Princess Or The Death Of Richard The Third,1
The English Monsieur,1
The English Lawyer,1
The English Frier Or The Town Sparks,1
The Enchanter or Love and Magic,1
The Elvira,1
The History Of Charles The Eighth Of France Or The Invasion Of Naples Of The French,1
The Double Falshood Or The Distressd Lovers,1
The Double Distress,1
The Detection Or A Sketch Of The Times,1
The Destruction Of Troy,1
The Destruction Of Jerusalem By Titus Vespasian Part Ii,1
The Destruction Of Jerusalem By Titus Vespasian Part I,1
The Destruction Of Jerusalem By Titus Vespasian Ii,1
The Descent Of The Heathen Gods With The loves Of Jupiter And Alcmena Or Cuckoldom No Scandal,1
The Deposing and Death of Queen Gin,1
The Dependent,1
The Defeat of Apollo,1
The Decoy Or The Harlots Progress,1
The Deceiver Deceived,1
The Debauchee Or The Credulous Cuckold,1
The Debauchee Or A New Way To Pay Old Debts,1
The Death of Dido Dido and Aeneas,1
The Death of Captain Faulknor or British Heroism,1
The Deuce is In Him,1
The Double Falsehood Or The Distrest Lovers,1
The Device,1
The Device or The Marriage Office,1
The Double Disappointment Cross,1
The Double Deceit,1
The Doctor and Apothecary,1
The Diversions Of The Morning Or A Dish Of Chocolate,1
The Distresd Mother,1
The Dissembled Wanton Or My Son Get Money,1
The Disappointment Or The Mother In Fashion,1
The Disappointment,1
The Different Widows Or Intrigue A La Mode,1
The Devonshire Girl being now upon her Return to the City of Exeter will perform three several Dances particularly her last New Entry in Imitation of Mademoiselle Subligni Whip of Dunboyn by Mr Claxton her Master The Devonshire Girl ,1
The Devil to  Pay,1
The Devil To Pay Or The Wives Metamorphosd,1
The Devil Of A Wife Or The Comical Transformation,1
The Devil Of A Duke Or The Conjurors Bastard With The Comical Humours Of Captain Tipple,1
The Devil In The Wine cellar,1
The Device or The Deaf Doctor,1
The Platonick Lady,1
The History Of Henry The Fifth,1
The History Of King Henry The Viiith And Anna Bullen Intermixed With The Diverting Humours Of Squire Numpskull And His Man Lack Brains,1
The Miller Outwitted or Harlequin Statue,1
The Metamorphosis Of The Beggars Opera,1
The Metamorphoses of Harlequin,1
The Metamorphoses of Cartouche,1
The Messiah Triumph Of Truth 0,1
The Messiah Samson Alexanders Feast And The Coronation Anthems,1
The Millers Holiday or Love in a Furz Bush,1
The Messiah LAllegro ed il Pensieroso 0,1
The Messiah Alexanders Feast Grand Selection 0,1
The Messiah Alexanders Feast,1
The Messiah A Grand Selection 0,1
The Messiah 3,1
The Messiah 2,1
The Messiah 1,1
The Messiah Grandselection 0,1
The Mirror or Harlequin Every where,1
The Miser Bit or Harlequin Reveller,1
The Miser or Wagner and Abericock,1
