c_Performer,p_PerfTitleClean,p_PerfTitleClean
Burton,The Stratagem,57
Burton ,The Beggars Opera,1
Burton.,Hamlet,3
Burton.,Macbeth,2
Burton.,The Beggars Opera,7
Burton.,The Stratagem,1
C. Bullock,Hamlet,7
C. Bullock,The Stratagem,4
C. Bullock.,Hamlet,3
C. Kemble,Hamlet,31
C. Kemble,Macbeth,33
C. Kemble,The Beggars Opera,2
C. Kemble,The Devil to Pay,1
C. Smith,The Beggars Opera,90
C. Smith,The Devil to Pay,15
C. Smith.,The Beggars Opera,3
Cademan,Macbeth,1
Cademan?,Macbeth,1
Cambray ,Macbeth,1
Campbell,Macbeth,1
Carpenter,The Beggars Opera,2
Carpenter,The Devil to Pay,1
Carr,Hamlet,11
Carr,Macbeth,4
Carr,The Beggars Opera,1
Carter,The Stratagem,1
Cartwright,Hamlet,3
Cartwright,The Devil to Pay,1
Cartwright,The Stratagem,1
Casey,Macbeth,1
Casey,The Beggars Opera,4
Casey,The Stratagem,1
Cashell,Hamlet,16
Cashell,Macbeth,22
Cashell,The Beggars Opera,13
Cashell,The Stratagem,5
Cashell.,Hamlet,1
Cassani,Hamlet,1
Castle,Hamlet,15
Castle,The Beggars Opera,17
Castle,The Stratagem,2
Castle.,Hamlet,2
Castle.,The Beggars Opera,7
Cates,The Stratagem,1
Caulfield,Hamlet,36
Caulfield,Macbeth,30
Caulfield,The Beggars Opera,2
Caulfield,The Devil to Pay,4
Caulfield in place of $Wewitzer=.,The Devil to Pay,1
Caulfield of $Wathen=,The Devil to Pay,1
Cautherley,Hamlet,1
Cautherly,Hamlet,4
Cautherly,Macbeth,9
Cavaliero Nicolini Grimaldo,Hamlet,1
Chambers,Hamlet,2
Chambers,Macbeth,8
Champnes,Macbeth,17
Champnes,The Beggars Opera,2
Champness,Macbeth,22
Champness,The Beggars Opera,2
Chaplin,Hamlet,37
Chaplin,Macbeth,12
Chaplin,The Beggars Opera,2
Chaplin,The Devil to Pay,3
Chaplin ,Macbeth,1
Chaplin.,Hamlet,1
Chaplin.,Macbeth,3
Chapman,Hamlet,38
Chapman,Macbeth,20
Chapman,The Beggars Opera,33
Chapman,The Stratagem,48
Chapman.,The Beggars Opera,14
Characters of the Opera.,The Beggars Opera,1
Characters.,The Beggars Opera,5
Charke,Hamlet,1
Charles,The Devil to Pay,1
Chettle ,The Beggars Opera,1
Chippendale,Hamlet,1
Chippendale,The Beggars Opera,13
Cibber,Hamlet,23
Cibber,Macbeth,10
Cibber,The Beggars Opera,1
Cibber,The Stratagem,50
Cibber Jr,Hamlet,21
Cibber Jr,Macbeth,6
Cibber Jr,The Stratagem,5
Cibber.,Hamlet,7
Cibber.,The Beggars Opera,1
Cibber.,The Stratagem,5
Claremont,Hamlet,11
Claremont,Macbeth,5
Claremont,The Beggars Opera,7
Clark,Macbeth,1
Clark,The Beggars Opera,1
Clarke,Hamlet,25
Clarke,Macbeth,63
Clarke,The Beggars Opera,38
Clarke,The Stratagem,9
Clarke.,Macbeth,1
Clive,Hamlet,79
Clive,Macbeth,20
Clive,The Beggars Opera,165
Clive,The Devil to Pay,125
Clive,The Stratagem,11
Clive.,Hamlet,5
Clive.,Macbeth,10
Clive.,The Beggars Opera,8
Clive.,The Devil to Pay,123
Clive.,The Stratagem,6
Clivelisted.,The Devil to Pay,3
Clough,The Beggars Opera,5
Clough,The Devil to Pay,5
Clough,The Stratagem,3
Cole,The Beggars Opera,21
Cole,The Stratagem,2
Coleman,The Beggars Opera,1
Collet,Hamlet,7
Collet,The Beggars Opera,7
Collet,The Stratagem,7
Collett,Hamlet,12
Collett,Macbeth,1
Collett,The Beggars Opera,1
Collett,The Stratagem,6
Collins,Hamlet,27
Collins,Macbeth,15
Collins,The Beggars Opera,149
Collins,The Stratagem,12
Collins.,The Beggars Opera,4
Collins.,The Devil to Pay,7
Connell,The Beggars Opera,2
Cooke,Hamlet,20
Cooke,The Beggars Opera,1
Cooper ,Macbeth,1
Cooper.,Hamlet,1
Corey,Hamlet,4
Corey,Macbeth,9
Cory,Hamlet,1
Cory,Macbeth,3
Cory,The Devil to Pay,1
Cory.,Macbeth,1
Costollo,Macbeth,1
Costollo,The Stratagem,2
Costollo.,Hamlet,2
Costollo.,Macbeth,2
Costollo.,The Beggars Opera,28
Courtney,The Devil to Pay,3
Cresswick,Hamlet,5
Creswick.,Hamlet,3
Crofts,Macbeth,1
Crofts,The Beggars Opera,2
Crofts,The Stratagem,3
Cross,Hamlet,16
Cross,Macbeth,36
Cross,The Beggars Opera,19
Cross,The Devil to Pay,1
Cross,The Stratagem,11
Cubitt,Hamlet,17
Cubitt,Macbeth,15
Cubitt,The Beggars Opera,27
Cubitt.,Macbeth,2
Cunningham,The Beggars Opera,1
Curties,Macbeth,4
Curtis,Hamlet,1
Cushing,Hamlet,33
Cushing,Macbeth,7
Cushing,The Beggars Opera,90
Cushing,The Devil to Pay,1
Cushing,The Stratagem,7
Cushing.,Hamlet,2
Dacres,Hamlet,1
Dagueville,Macbeth,1
Daigville,Macbeth,1
Daigville.,Macbeth,3
Daly,The Beggars Opera,1
Danby,The Beggars Opera,1
Dance.,Hamlet,1
Dancer,Hamlet,1
Daniel,The Stratagem,1
Darley,Macbeth,12
Darley,The Beggars Opera,27
Davenport,Hamlet,8
Davenport,Macbeth,12
Davenport,The Beggars Opera,19
Davies,Hamlet,117
Davies,Macbeth,83
Davies,The Beggars Opera,6
Davies,The Devil to Pay,7
Davies ,Macbeth,1
Davies.,Macbeth,1
Davies.,The Devil to Pay,1
Davies.,The Stratagem,1
Davis,Hamlet,21
Davis,Macbeth,3
Davis,The Beggars Opera,18
Davis,The Devil to Pay,1
Davis,The Stratagem,5
Davis.,Hamlet,2
Dawson,Macbeth,5
Dease,The Beggars Opera,1
Decastro,The Beggars Opera,1
Delane,Hamlet,71
Delane,Macbeth,43
Delane,The Beggars Opera,1
Delane,The Stratagem,49
Delane.,The Stratagem,2
Delatre.,Macbeth,2
Delpini,The Beggars Opera,23
Denman,The Beggars Opera,1
Devisse,Macbeth,4
Devisse.,Macbeth,4
Diggers-Booth,Hamlet,1
Diggers-Quick,Hamlet,6
Digges,Macbeth,2
Digges,The Beggars Opera,1
Digges ,The Beggars Opera,1
Diggs,Hamlet,8
Diggs,Macbeth,1
Diggs,The Stratagem,18
Dighton,The Beggars Opera,6
Dignum,Hamlet,2
Dignum,The Beggars Opera,2
Dignum,The Devil to Pay,77
Dignum ,The Beggars Opera,1
Dignum.,The Devil to Pay,7
Dignum?.,Hamlet,2
Dimond,The Stratagem,1
Dixon,Hamlet,1
Dodd,Hamlet,25
Dodd,The Stratagem,12
Dodd ,Hamlet,4
Dogget,Macbeth,3
Dogget.,Hamlet,2
Dove,Hamlet,4
Dove,Macbeth,6
Dove,The Beggars Opera,28
Dove,The Devil to Pay,6
Dove,The Stratagem,5
Dove.,The Devil to Pay,2
Dowton,Hamlet,19
Dowton,Macbeth,4
Dowton,The Beggars Opera,10
Dowton,The Devil to Pay,2
Dowton.,Hamlet,1
Doyle,The Beggars Opera,22
Drew.,The Stratagem,1
Du Bellamy,The Devil to Pay,1
Du-Bellamy ,The Stratagem,1
DuBellamy,Hamlet,3
DuBellamy,The Beggars Opera,3
DuBellamy,The Devil to Pay,12
DuBellamy,The Stratagem,6
DuBellamy ,The Beggars Opera,1
DuBellamy.,The Beggars Opera,1
DuBellamy.,The Stratagem,6
Dunstall,Hamlet,59
Dunstall,Macbeth,66
Dunstall,The Beggars Opera,370
Dunstall,The Devil to Pay,147
Dunstall,The Stratagem,27
Dutton,The Beggars Opera,1
Dyer,Hamlet,63
Dyer,Macbeth,2
Dyer,The Beggars Opera,69
Dyer,The Stratagem,1
Dyer.,Hamlet,1
Dyer.,Macbeth,1
Dyer.,The Beggars Opera,2
Dyke,The Beggars Opera,1
E. Roberts,The Beggars Opera,3
Eaton,The Beggars Opera,1
Eaton,The Stratagem,1
Eden.,The Beggars Opera,1
Edwin,Hamlet,17
Edwin,The Beggars Opera,1
Edwin,The Devil to Pay,8
Edwin,The Stratagem,4
Edwin ,Hamlet,1
Egan,Hamlet,14
Egan,Macbeth,6
Egan,The Beggars Opera,2
Egan,The Stratagem,9
Egan ,Hamlet,2
Egerton ,Hamlet,1
Egleton,Hamlet,21
Egleton,Macbeth,6
Egleton,The Stratagem,16
Eliz. Young,The Beggars Opera,1
Elizabeth Binks,The Beggars Opera,15
Elizabeth Rogers,The Beggars Opera,15
Elrington,Hamlet,4
Elrington,Macbeth,5
Elrington Lately arriv'd from <i>Ireland</i>,Hamlet,5
Elrington.,Hamlet,1
Elrington.,The Beggars Opera,2
Estcourt,Hamlet,4
Estcourt,The Stratagem,4
Estcourt.,Hamlet,1
Este,Hamlet,10
Este,The Beggars Opera,12
Este,The Devil to Pay,4
Este,The Stratagem,1
Esther Wherrit,The Beggars Opera,45
Evans,Hamlet,31
Evans,Macbeth,6
Evans,The Beggars Opera,10
Evans,The Devil to Pay,6
Evans,The Stratagem,1
Evans ,Hamlet,3
Evans.,Hamlet,4
Evatt,Hamlet,22
Evatt,The Beggars Opera,2
Evatt.,Hamlet,1
Everard,Macbeth,4
Everard,The Beggars Opera,1
Everard,The Devil to Pay,4
Excell,The Beggars Opera,7
Eyres,The Beggars Opera,4
Farley,Hamlet,8
Farley,Macbeth,4
Farley,The Beggars Opera,7
Farrel,Hamlet,1
Farrell,Hamlet,1
Farrell,The Beggars Opera,4
Farrell,The Devil to Pay,2
Farren,Hamlet,59
Farren,Macbeth,42
Farren,The Beggars Opera,7
Farren.,Hamlet,2
Fawcet,Macbeth,2
Fawcett,Hamlet,51
Fawcett,Macbeth,14
Fawcett,The Beggars Opera,30
Fawcett,The Devil to Pay,57
Fawcett,The Stratagem,2
Fearon,Hamlet,29
Fearon,Macbeth,24
Fearon,The Beggars Opera,6
Fearon,The Devil to Pay,11
Fearon,The Stratagem,4
Fearon.,The Beggars Opera,8
Fennell,Hamlet,4
Fielding,The Stratagem,1
Fielding.,The Stratagem,1
Fischar ,Macbeth,4
Fishar,Macbeth,4
Fishar,The Devil to Pay,5
Fishar.,Macbeth,16
Fisher,Macbeth,2
Fisher,The Beggars Opera,9
Fisher Tench Charke,The Beggars Opera,30
Fleetwood,Hamlet,3
Follet,The Beggars Opera,1
Follett,The Beggars Opera,4
Follett,The Devil to Pay,4
Foote,The Stratagem,2
Foote-<i>London Magazine</i>.,The Stratagem,1
Fox,Hamlet,7
Fox,Macbeth,14
Fox,The Beggars Opera,18
Fox,The Stratagem,9
Fox ,The Stratagem,3
Fox.,Hamlet,2
Fox.,The Beggars Opera,2
Fox.,The Devil to Pay,1
Francis,The Beggars Opera,1
Freeman,The Beggars Opera,4
Freeman,The Devil to Pay,5
Fulfort,The Stratagem,2
Furnival,Hamlet,3
Furnival,Macbeth,6
Furnival,The Stratagem,6
Gardiner,Macbeth,1
Gardner,Hamlet,24
Gardner,Macbeth,39
Gardner,The Beggars Opera,18
Gardner,The Devil to Pay,2
Gardner,The Stratagem,30
Gardner ,Hamlet,1
Gardner.,The Beggars Opera,2
Gardner.,The Stratagem,1
Gardner?,The Stratagem,1
Garrick,Hamlet,71
Garrick,Macbeth,34
Garrick,The Beggars Opera,1
Garrick,The Stratagem,106
Garrick for last time this season,Hamlet,1
Garrick.,Hamlet,20
Garrick.,Macbeth,5
Garrick.,The Beggars Opera,1
Garrick.,The Stratagem,1
Gaudry,Hamlet,1
Gaudry,The Beggars Opera,18
Gaudry,The Devil to Pay,2
Gaudry ,The Beggars Opera,1
Gentleman first appearance on any stage.,The Beggars Opera,1
Gentleman who never appear'd on any Stage before,The Stratagem,1
Gentlemen from the theatres ,The Stratagem,1
Gentlewoman new to the Stage,The Stratagem,1
Gentlewoman who never appeared on the stage before,The Beggars Opera,14
Gentlewoman who performed <i>Dorcas</i>,The Beggars Opera,1
George,The Beggars Opera,1
Gibbon,Macbeth,4
Gibbs,The Beggars Opera,1
Gibson,Hamlet,49
Gibson,Macbeth,66
Gibson,The Beggars Opera,1
Gibson,The Stratagem,21
Gibson.,Hamlet,2
Gibson.,Macbeth,1
Gibson.,The Stratagem,3
Giffard,Hamlet,39
Giffard,Macbeth,27
Giffard,The Beggars Opera,1
Giffard,The Stratagem,44
Giffard.,Hamlet,1
Giffard.,Macbeth,2
Goodfellow,Hamlet,5
Goodfellow,Macbeth,13
Goodfellow,The Beggars Opera,11
Goodfellow ,The Beggars Opera,1
Goodfellow his last on any stage,Hamlet,1
Goodfellow.,Hamlet,4
Goodfellow.,The Beggars Opera,1
Graham,The Beggars Opera,4
Graham,The Stratagem,1
Granier.,The Beggars Opera,2
Gray,The Beggars Opera,39
Green,Hamlet,31
Green,Macbeth,19
Green,The Beggars Opera,203
Green,The Devil to Pay,44
Green,The Stratagem,33
Green *u§´cg IInterlude: The Royal Garland.  As17681010.,The Devil to Pay,2
Griffin,Hamlet,64
Griffin,Macbeth,4
Griffin,The Beggars Opera,2
Griffin,The Stratagem,9
Griffin.,Hamlet,3
Griffin.,The Beggars Opera,1
Griffith,Hamlet,2
Griffith,The Beggars Opera,2
Griffith,The Stratagem,1
Griffith from <i>Dublin</i>,The Stratagem,1
Griffith-$Hogan=,Hamlet,4
Griffiths,Hamlet,34
Griffiths,Macbeth,12
Griffiths,The Beggars Opera,1
Grimaldi,Macbeth,8
Grimaldi,The Devil to Pay,1
Grimaldi.,Macbeth,3
Grist,Macbeth,4
Groves,The Devil to Pay,1
H. Bullock,The Beggars Opera,1
H. Bullock,The Stratagem,9
H. Bullock.,The Stratagem,1
H. Vaughan,The Beggars Opera,1
Hale,Hamlet,26
Hale,Macbeth,33
Hale,The Beggars Opera,14
Hale,The Stratagem,26
Hall,Hamlet,2
Hall,Macbeth,31
Hall,The Beggars Opera,26
Hall,The Devil to Pay,7
Hall.,The Beggars Opera,1
Hallam,Hamlet,23
Hallam,Macbeth,9
Hallam,The Beggars Opera,1
Hallam,The Stratagem,5
Hallam ,The Devil to Pay,1
Hallam Sen,Hamlet,1
Hallam Sen,Macbeth,6
Hallam Sen,The Beggars Opera,8
Hamilton,Hamlet,14
Hamilton,The Beggars Opera,1
Hamilton,The Stratagem,6
Harbin,Hamlet,6
Harbin,Macbeth,3
Hardin,Macbeth,4
Harley,Hamlet,22
Harley,Macbeth,4
Harley ,Macbeth,1
Harper,Macbeth,11
Harper,The Beggars Opera,20
Harper,The Devil to Pay,117
Harper,The Stratagem,20
Harper ,The Devil to Pay,1
Harper. With a New Epilogue spoke by Greenand Miss Cole ,The Devil to Pay,1
Harrington,Hamlet,9
Harrington,Macbeth,7
Harris,Hamlet,1
Harris,Macbeth,1
Harris?,Macbeth,1
Harrison,The Beggars Opera,1
Hart,Macbeth,6
Hartry,Hamlet,16
Hartry,The Stratagem,1
Haswell,The Beggars Opera,1
Havard,Hamlet,131
Havard,Macbeth,98
Havard,The Stratagem,30
Havard.,Hamlet,2
Havard.,The Stratagem,1
Haverd,The Stratagem,3
Hayman,Hamlet,9
Hayman,The Devil to Pay,12
Hayman,The Stratagem,3
Hayman First time on that stage.,The Beggars Opera,1
Haymes,Hamlet,1
Haymes,The Beggars Opera,3
Heemskirk,The Beggars Opera,1
Helme,Hamlet,3
Helme,Macbeth,5
Helme,The Beggars Opera,10
Hemskirk,The Beggars Opera,8
Hemskirk,The Devil to Pay,12
Hemskirk.,The Devil to Pay,4
Henderson,Hamlet,20
Henderson,Macbeth,22
Henderson ,Hamlet,16
Henderson ,Macbeth,1
Henry,The Devil to Pay,1
Henry ,Hamlet,1
Henry Woodward,The Beggars Opera,45
Hewitt,The Beggars Opera,4
Hewlet,Macbeth,1
Hewson,The Stratagem,1
Hicks,The Beggars Opera,1
Hill,Hamlet,1
Hill,The Beggars Opera,5
Hill.,The Stratagem,1
Hind,The Stratagem,1
Hinde,The Beggars Opera,2
Hippisley,Hamlet,63
Hippisley,Macbeth,31
Hippisley,The Beggars Opera,71
Hippisley,The Stratagem,39
Hippisley ,Macbeth,4
Hippisley ,The Stratagem,6
Hippisley's Daughter,The Stratagem,1
Hippisley.,Macbeth,14
Hippisley.,The Stratagem,20
Holland,Hamlet,52
Holland,Macbeth,20
Holland.,Hamlet,6
Hollingsworth,Hamlet,1
Hollingsworth,The Beggars Opera,10
Hollingsworth,The Devil to Pay,30
Holman,Hamlet,32
Holman,Macbeth,27
Holman ,Hamlet,2
Holman ,Macbeth,3
Holman.,The Beggars Opera,1
Holmes,Macbeth,5
Holt,Hamlet,3
Holtam,The Beggars Opera,5
Holtam,The Devil to Pay,5
Holtham,Hamlet,13
Holtham,The Beggars Opera,32
Holtham.,The Beggars Opera,2
Holtman,The Beggars Opera,8
Holtom,Hamlet,23
Holtom,Macbeth,4
Holtom,The Beggars Opera,223
Holtom,The Devil to Pay,12
Holtom,The Stratagem,1
Houghton,Hamlet,2
Houghton,Macbeth,1
Houghton,The Beggars Opera,1
House,The Beggars Opera,1
Huddy,Hamlet,11
Huddy,Macbeth,10
Huddy,The Beggars Opera,17
Huddy,The Stratagem,5
Hudson,The Beggars Opera,1
Hughes ,The Devil to Pay,2
Hulet,Macbeth,1
Hulet,The Devil to Pay,5
Hulett,Hamlet,16
Hulett,Macbeth,18
Hulett,The Beggars Opera,20
Hulett,The Devil to Pay,19
Hulett,The Stratagem,14
Hulett.,Hamlet,2
Hull,Hamlet,61
Hull,Macbeth,103
Hull,The Beggars Opera,6
Hull,The Stratagem,3
Hull.,Hamlet,1
Hurst,Hamlet,19
Hurst,Macbeth,27
Hurst,The Stratagem,14
Hurst.,The Stratagem,4
Husband,Hamlet,3
Husband,The Stratagem,3
Husband.,The Stratagem,1
Husbands,The Stratagem,2
Hussey.,The Stratagem,1
I. Sparkes,The Stratagem,5
I. Sparks,The Stratagem,3
Iliff,Hamlet,1
Incledon,The Beggars Opera,15
Incledon,The Devil to Pay,2
Incledon ,The Beggars Opera,2
Incledon ,The Devil to Pay,1
Ingall,The Beggars Opera,1
Ireland,The Devil to Pay,1
J. Aickin,Hamlet,18
J. Aickin,Macbeth,6
J. Aickin,The Stratagem,10
J. Aickin.,Hamlet,1
J. Bates,Hamlet,2
J. Bates,Macbeth,6
J. Bates ,Hamlet,1
J. Burton,The Beggars Opera,1
J. Edwin,Hamlet,1
J. Edwin,The Beggars Opera,1
J. Heemskirk,The Beggars Opera,1
J. Leigh,Hamlet,4
J. Leigh.,Macbeth,1
J. Palmer,The Stratagem,1
J. Palmer.,The Beggars Opera,4
J. Wilson,Hamlet,1
J. Wilson,The Devil to Pay,1
J. Wilson ,The Devil to Pay,1
J. _Lee omitted: Vocal Parts.,Macbeth,1
Jackson,Macbeth,4
Jackson,The Beggars Opera,4
Jackson,The Stratagem,1
Jackson.,Macbeth,2
Jacobs,Hamlet,3
Jacobs,The Beggars Opera,9
Jacobs,The Devil to Pay,1
Jacobs,The Stratagem,1
James,Hamlet,34
James,Macbeth,6
James,The Beggars Opera,51
James,The Stratagem,12
James Bencraft,The Beggars Opera,30
James Weeks,The Beggars Opera,30
James.,Hamlet,1
Jarvis,Hamlet,3
Jarvis,The Stratagem,1
Jefferson,Hamlet,37
Jefferson.,Hamlet,1
Jenkins,Hamlet,6
Jenkins,Macbeth,1
Jenkins,The Beggars Opera,15
Jenkins,The Devil to Pay,41
John Verhuyck,The Beggars Opera,15
John Wilson,The Beggars Opera,15
Johnson,Hamlet,102
Johnson,Macbeth,53
Johnson,The Beggars Opera,1
Johnson,The Stratagem,1
Johnson ,Macbeth,3
Johnson.,Hamlet,8
Johnston,Hamlet,1
Johnston ,Hamlet,2
Johnstone,Hamlet,1
Johnstone,The Beggars Opera,18
Johnstone,The Devil to Pay,4
Jones,Hamlet,5
Jones,Macbeth,17
Jones,The Beggars Opera,16
Jones,The Devil to Pay,3
Jones,The Stratagem,8
Jones ,Hamlet,1
Jones.,Macbeth,2
Jones.  hathi.,The Beggars Opera,2
Jones. Prologue,Macbeth,4
Jones?,Macbeth,1
Julian,Hamlet,6
Julian,Macbeth,1
Julian,The Beggars Opera,8
Julian,The Devil to Pay,5
Julian,The Stratagem,7
Julian.,The Devil to Pay,1
Kean ,The Beggars Opera,1
Kear,The Beggars Opera,33
Kear.,The Devil to Pay,3
Kearny,Hamlet,2
Kearny,The Beggars Opera,6
Keen,Hamlet,14
Keen,Macbeth,11
Keen,The Beggars Opera,4
Keen,The Stratagem,2
Keen.,Hamlet,1
Keene,Hamlet,14
Keene,Macbeth,4
Keene,The Stratagem,8
Keene.,The Stratagem,4
Kelly,The Beggars Opera,13
Kelly,The Devil to Pay,20
Kelly ,The Beggars Opera,8
Kemble,Hamlet,45
Kemble,Macbeth,45
Kemble ,Macbeth,1
Kemp,The Stratagem,1
Kennedy,Hamlet,10
Kennedy,Macbeth,1
Kennedy,The Beggars Opera,1
Kennedy,The Stratagem,5
Kennedy.,The Beggars Opera,1
Kenny,The Beggars Opera,1
Kenny,The Devil to Pay,1
Kenny,The Stratagem,3
Kenny.,Hamlet,1
King,Hamlet,25
King,Macbeth,5
King,The Stratagem,12
King ,Hamlet,4
King.,The Beggars Opera,1
Klanert,Macbeth,4
Klanert,The Beggars Opera,2
Knight,The Beggars Opera,1
Kniveton,Hamlet,1
Kniveton,The Stratagem,4
L'Estrange,Hamlet,8
L'Estrange,Macbeth,17
L'Estrange,The Beggars Opera,2
L'Estrange.,Hamlet,1
L. Hallam,Hamlet,5
L. Hallam,Macbeth,6
L. Hallam,The Beggars Opera,6
L. Hallam,The Stratagem,2
Lacey,Macbeth,3
Lacey first time,Hamlet,1
Lacey.,Macbeth,2
Lacy,Macbeth,11
Lacy,The Beggars Opera,4
Lacy,The Stratagem,12
Lacy ,Hamlet,6
Lacy ,The Beggars Opera,1
Lacy.,The Stratagem,1
Lamash,Hamlet,19
Lamash,The Beggars Opera,2
Lamash,The Stratagem,2
Lane</i>),The Beggars Opera,3
Layfield,Macbeth,2
Ledger,Hamlet,4
Ledger,Macbeth,4
Ledger,The Beggars Opera,25
Ledger,The Devil to Pay,1
Lee,Hamlet,21
Lee,Macbeth,34
Lee,The Beggars Opera,8
Lee,The Devil to Pay,1
Lee,The Stratagem,15
Lee 1st time,The Stratagem,1
Lee Lewes,Hamlet,8
Lee Lewes,The Beggars Opera,5
Legg,Macbeth,18
Leigh,Hamlet,11
Leigh,Macbeth,10
Leigh,The Beggars Opera,56
Leigh,The Stratagem,1
Leigh.,Hamlet,6
Leppi,Macbeth,1
Leppie,Macbeth,3
Letteney,The Beggars Opera,2
Leveridge,Hamlet,1
Leveridge,Macbeth,18
Leveridge ,Hamlet,1
Lewes,Hamlet,1
Lewes,The Stratagem,1
Lewes.,Hamlet,1
Lewis,Hamlet,2
Lewis,The Beggars Opera,2
Lewis,The Stratagem,11
Lewis ,Hamlet,1
Lilliston,Hamlet,1
Lings,Hamlet,2
Lings,The Beggars Opera,6
Lings,The Devil to Pay,1
Linton,The Beggars Opera,10
Lloyd,The Beggars Opera,7
Lloyd,The Devil to Pay,9
Love,Hamlet,22
Love,Macbeth,1
Love,The Devil to Pay,49
Love,The Stratagem,29
Love in place of $Blakes=.,Macbeth,2
Love.,The Beggars Opera,1
Lovel,Hamlet,1
Loveman,The Beggars Opera,8
Low,The Devil to Pay,23
Lowe,Macbeth,24
Lowe,The Beggars Opera,137
Lowe,The Devil to Pay,102
Lowe ,The Devil to Pay,25
Lowe 1st appearance on that stage,The Beggars Opera,11
Lowe listed.,The Devil to Pay,12
Lowe.,The Beggars Opera,6
Lucas,Macbeth,2
Lyngs,The Beggars Opera,4
Lynham,The Stratagem,1
Lyon,Hamlet,10
Lyon,Macbeth,9
Lyon,The Beggars Opera,12
Lyon,The Stratagem,4
Lyons,Hamlet,2
Lyons,The Beggars Opera,10
Lyons,The Devil to Pay,14
Lyons.,The Devil to Pay,1
M rs Hedges,Hamlet,3
M. Stoppelaer,The Beggars Opera,6
Machen,The Beggars Opera,1
Macklin,Hamlet,70
Macklin,Macbeth,24
Macklin,The Beggars Opera,85
Macklin,The Devil to Pay,1
Macklin,The Stratagem,41
Macklin.,The Stratagem,3
Macready,Hamlet,31
Macready,Macbeth,26
Maddocks,Hamlet,25
Maddocks,Macbeth,11
Maddocks,The Beggars Opera,12
Maddocks,The Devil to Pay,31
Maddocks.,The Devil to Pay,2
Mahon,Hamlet,5
Mahon,Macbeth,3
Mahon,The Beggars Opera,9
Mahon,The Devil to Pay,5
Mahon,The Stratagem,1
Mahoon,The Beggars Opera,4
Mahoon,The Devil to Pay,2
Mahoon.,The Beggars Opera,1
Mallin,Hamlet,3
Malone,The Beggars Opera,2
Mansel,Macbeth,2
Margaret Gold,The Beggars Opera,15
Margaret Lowe,The Beggars Opera,15
Marr,Hamlet,83
Marr,Macbeth,6
Marr,The Beggars Opera,5
Marr,The Stratagem,3
Marr.,Hamlet,4
Marr.,Macbeth,1
Marshall,Hamlet,15
Marshall,Macbeth,4
Marshall,The Beggars Opera,20
Marshall.,Macbeth,1
Marten,Macbeth,26
Marten,The Beggars Opera,58
Marten,The Stratagem,50
Marten.,Hamlet,1
Marten.,The Beggars Opera,1
Mary Shaftoe,The Beggars Opera,15
Mary Vincent,The Beggars Opera,15
Mary Weyman,The Beggars Opera,15
Mas Burton,Macbeth,3
Mas. Burton,Macbeth,7
Mas. Cape,Macbeth,2
Mas. Cautherly,Macbeth,5
Mas. Cross,Macbeth,2
Mas. Mattocks,Macbeth,2
Mas. Morgan,Macbeth,1
Mas. Pulley,Macbeth,4
Mas. Simson,Macbeth,3
Massey,Hamlet,1
Massey,Macbeth,2
Massey,The Beggars Opera,10
Massey,The Devil to Pay,1
Massey,The Stratagem,2
Master Benson,Macbeth,3
Master Burton,The Beggars Opera,6
Master Byrn,The Beggars Opera,23
Master Cape,Macbeth,1
Master Cautherly,Macbeth,4
Master Chatterley,Macbeth,12
Master Chatterley,The Beggars Opera,2
Master Cross,Macbeth,19
Master Curties,Macbeth,2
Master Curties.,Macbeth,4
Master De Camp,Macbeth,13
Master DeCamp,Macbeth,9
Master Edwin,The Beggars Opera,23
Master Edwin,The Devil to Pay,1
Master Giffard,Macbeth,3
Master Gregson,Macbeth,31
Master Harlowe,Macbeth,10
Master Mattocks,Macbeth,5
Master Menage,Macbeth,9
Master Morgan,Macbeth,6
Master Norsa,The Beggars Opera,1
Master Norsa,The Devil to Pay,1
Master Palmer,Macbeth,2
Master Pulley,Macbeth,9
Master Rees,Macbeth,2
Master Shuter,Hamlet,1
Master Simson,Hamlet,1
Master Simson,Macbeth,7
Master Wilks,Macbeth,8
Master Woodward,The Beggars Opera,4
Mathew,The Beggars Opera,3
Mathews,Macbeth,2
Mathews,The Beggars Opera,26
Matthews,The Beggars Opera,13
Matthews.,The Beggars Opera,1
Mattocks,Hamlet,1
Mattocks,Macbeth,30
Mattocks,The Beggars Opera,53
Mattocks,The Devil to Pay,36
Mattocks ,The Beggars Opera,1
Mattocks.,The Beggars Opera,2
Mattocks.,The Devil to Pay,1
May,The Devil to Pay,1
Meadows,Hamlet,3
Meadows,The Beggars Opera,4
Mechlin,The Beggars Opera,11
Medbourne?,Macbeth,1
Medburn,Macbeth,1
Mellish,The Devil to Pay,1
Melmoth,Hamlet,1
Men,The Beggars Opera,2
Messink.,Hamlet,1
Metteer,The Devil to Pay,1
Mew,The Stratagem,1
Middleton,Hamlet,20
Middleton,Macbeth,4
Middleton,The Devil to Pay,1
Middleton.,Macbeth,1
Miell,The Beggars Opera,4
Milburne,The Beggars Opera,2
Miles,Macbeth,6
Miles,The Beggars Opera,22
Miles,The Devil to Pay,5
Miles.,The Beggars Opera,6
Miles.*c1759 10 10 cg No persons to be admitted behind the scenes.  Receipts: #188 11s. 6d.,The Beggars Opera,53
Miller,Hamlet,4
Miller,Macbeth,9
Miller,The Devil to Pay,4
