c_Performer,p_PerfTitleClean,p_PerfTitleClean
 Miss Mears.,The Devil to Pay,3
 Miss Menage,The Beggars Opera,2
 Miss Norris.,Macbeth,4
 Miss Oates.,The Devil to Pay,48
 Miss Poitier,Macbeth,2
 Miss Polly Young,Macbeth,1
 Miss Radley,Macbeth,2
 Miss Simson,Hamlet,1
 Miss Thomas.,Macbeth,4
 Miss Twist,The Beggars Opera,1
 Miss Valois,Macbeth,1
 Miss Williams,The Devil to Pay,51
 Miss Young,Macbeth,45
 Miss Young.,Macbeth,4
 Miss _Davis,Macbeth,2
 Miss _Hillyard.,Macbeth,1
 Miss _Norris.,Macbeth,1
 Monlass,Macbeth,1
 Monlass ,Macbeth,3
 Moody,Macbeth,57
 Morgan,Macbeth,34
 Morgan.,Hamlet,3
 Morgan.,Macbeth,3
 Mrs +Clive,Macbeth,1
 Mrs +Lampe.,Macbeth,1
 Mrs <i>Pitt,Macbeth,1
 Mrs Abeg,Macbeth,1
 Mrs Abegg,Macbeth,3
 Mrs Arne,Macbeth,1
 Mrs B. _Menage.,The Devil to Pay,1
 Mrs Chambers,Macbeth,13
 Mrs Cuyler.,The Beggars Opera,1
 Mrs Dorman,Macbeth,8
 Mrs Edward,The Beggars Opera,2
 Mrs Fitzgerald,Macbeth,1
 Mrs Gibbs.,The Beggars Opera,2
 Mrs Hitchcock,The Beggars Opera,1
 Mrs Hunt,Macbeth,1
 Mrs James,Macbeth,3
 Mrs Jewell,The Beggars Opera,1
 Mrs Jewell,The Stratagem,1
 Mrs Jones,Macbeth,22
 Mrs Jones.,Macbeth,5
 Mrs King.,Macbeth,2
 Mrs Lampe,Macbeth,54
 Mrs Love,Macbeth,4
 Mrs Mozeen,Macbeth,8
 Mrs Pitt,Macbeth,47
 Mrs Poussin,The Beggars Opera,2
 Mrs Poussin,The Stratagem,1
 Mrs Scott,Macbeth,8
 Mrs Sibella,Macbeth,8
 Mrs Storer,Macbeth,1
 Mrs Thomas.,Macbeth,2
 Mrs Thompson,Macbeth,19
 Mrs Vernon,Macbeth,3
 Mrs Vernon.,Macbeth,2
 Mrs Vernon.,The Stratagem,13
 Mrs Vernon.  With proper Decorations.,Macbeth,3
 Mrs Vincent,Macbeth,26
 Mrs Vincent.,Macbeth,5
 Mrs Vincent. With <i>Dances</i> and Decorations incident to the Play.,Macbeth,4
 Mrs Vincent. With the Dances and Decorations incident to the Play.,Macbeth,1
 Mrs W. Palmer,The Beggars Opera,1
 Mrs W. Palmer,The Stratagem,1
 Mrs Weichsel,Macbeth,1
 Mrs Willems,Macbeth,1
 Mrs Wright,Macbeth,6
 Mrs Wrighten,Macbeth,2
 Mrs _Fitzgerald.,Macbeth,1
 Mrs _James,Macbeth,2
 Mrs _Pitt.,Macbeth,1
 Mrs _Vincent,Macbeth,1
 Mrs _Wright.,Macbeth,1
 Ms Brigg,The Devil to Pay,1
 Ms Brooker,The Devil to Pay,1
 Ms Byrne,The Devil to Pay,1
 Ms Daniels,The Devil to Pay,1
 Ms Drake.,The Devil to Pay,1
 Ms Luciet,The Devil to Pay,1
 Ms Riches,The Devil to Pay,1
 Ms Vining,The Devil to Pay,1
